HOME_CBG,STREET_ADDRESS,LATITUDE,LONGITUDE,YearRange,Average_Visits
011130302001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
011130302001,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
011130302003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,8.0
011130304022,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
011130309011,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
011130309013,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
011130309013,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
011130309021,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.5
011130309023,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
011130310001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,4.0
011130312001,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
011150401062,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
011150401062,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,7.0
011150402051,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
011150404023,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
011150404023,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
011150405011,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
011170302121,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
011170302141,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
011170302151,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
011170303153,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
011170303172,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
011170303303,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
011179800001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
011210113001,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,15.0
011210113001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,13.0
011239619002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
011239622002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,4.0
011239622003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,10.0
011239623003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
011239624002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
011239625013,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
011239625023,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.333333333333333
011239625023,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
011239625023,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
