Start,Stop,fips,County_StateAbb,County,StateAbb,Obesity,Overweight,Ncount
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48213,"HENDERSON, TX",HENDERSON,TX,40.1,32.2,43189
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21111,"JEFFERSON, KY",JEFFERSON,KY,40.1,35.7,517422
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21231,"WAYNE, KY",WAYNE,KY,40.1,26.9,4662
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48071,"CHAMBERS, TX",CHAMBERS,TX,40.1,30.4,18768
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17021,"CHRISTIAN, IL",CHRISTIAN,IL,40.1,27,11601
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48379,"RAINS, TX",RAINS,TX,40.1,33.1,3621
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48499,"WOOD, TX",WOOD,TX,40.1,33.8,22045
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29125,"MARIES, MO",MARIES,MO,40,29,3556
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37147,"PITT, NC",PITT,NC,40,27.6,97550
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17143,"PEORIA, IL",PEORIA,IL,40,32.5,133456
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37093,"HOKE, NC",HOKE,NC,40,28.1,16871
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17129,"MENARD, IL",MENARD,IL,40,27.3,2924
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,20177,"SHAWNEE, KS",SHAWNEE,KS,40,30.6,137747
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17093,"KENDALL, IL",KENDALL,IL,40,33,64282
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13083,"DADE, GA",DADE,GA,40,32.5,4590
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48413,"SCHLEICHER, TX",SCHLEICHER,TX,40,35,1180
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17119,"MADISON, IL",MADISON,IL,40,28.5,62891
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13147,"HART, GA",HART,GA,40,31.3,12966
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37155,"ROBESON, NC",ROBESON,NC,39.9,27.7,76511
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29181,"RIPLEY, MO",RIPLEY,MO,39.9,27.1,5222
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48217,"HILL, TX",HILL,TX,39.9,29.8,13768
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17171,"SCOTT, IL",SCOTT,IL,39.9,28.5,657
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21185,"OLDHAM, KY",OLDHAM,KY,39.9,39.8,39616
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17079,"JASPER, IL",JASPER,IL,39.8,29.5,4976
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13013,"BARROW, GA",BARROW,GA,39.8,29.2,44869
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48303,"LUBBOCK, TX",LUBBOCK,TX,39.7,27.2,20695
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37079,"GREENE, NC",GREENE,NC,39.7,28.7,9972
