Start,Stop,County_StateAbb,County,StateAbb,Obesity,StateGroup,Overweight,Ncount,N_DiagnosedHTN,State,Ncount_nested,fips
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"SAINT JAMES, LA",SAINT JAMES,LA,41.6,State Group 3,27.3,8589,3939,Louisiana,8589,22093
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HERKIMER, NY",HERKIMER,NY,41.5,State Group 3,31.9,39824,18572,New York,39824,36043
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CHOUTEAU, MT",CHOUTEAU,MT,41.5,State Group 3,31.9,2417,992,Montana,NA,30015
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"VERMILION, LA",VERMILION,LA,41.5,State Group 3,31.8,22241,9608,Louisiana,22241,22113
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"KANAWHA, WV",KANAWHA,WV,41.4,State Group 3,29.4,69921,29709,West Virginia,69921,54039
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"LINCOLN, WV",LINCOLN,WV,41.4,State Group 3,24,5357,2059,West Virginia,5357,54043
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"SAINT LAWRENCE, NY",SAINT LAWRENCE,NY,41.3,State Group 3,30.1,64979,30162,New York,64979,36089
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CAMERON, LA",CAMERON,LA,41.3,State Group 3,32.7,808,321,Louisiana,NA,22023
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"WALKER, AL",WALKER,AL,41.3,State Group 3,23.4,889,390,Alabama,NA,01127
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"WALKER, AL",WALKER,AL,41.3,State Group 3,23.4,889,390,Alabama,NA,01127
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"JEFFERSON, WV",JEFFERSON,WV,41.3,State Group 3,33.2,42268,17414,West Virginia,42268,54037
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"STEELE, ND",STEELE,ND,41.2,State Group 3,27.1,1198,607,North Dakota,NA,38091
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"ROANE, WV",ROANE,WV,41.2,State Group 3,26.3,4091,1772,West Virginia,NA,54087
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MALHEUR, OR",MALHEUR,OR,41.2,State Group 3,30.2,23299,10257,Oregon,23299,41045
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"GILMER, WV",GILMER,WV,41.2,State Group 3,25.7,2906,1338,West Virginia,NA,54021
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"GRIGGS, ND",GRIGGS,ND,41.2,State Group 3,30.2,1560,830,North Dakota,NA,38039
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"NORTHAMPTON, PA",NORTHAMPTON,PA,41.1,State Group 3,37.2,254096,116160,Pennsylvania,254096,42095
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"LOGAN, WV",LOGAN,WV,41.1,State Group 3,24,5689,2145,West Virginia,5689,54045
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HALE, AL",HALE,AL,41,State Group 3,19.1,1155,531,Alabama,NA,01065
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HALE, AL",HALE,AL,41,State Group 3,19.1,1155,531,Alabama,NA,01065
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HAMPSHIRE, WV",HAMPSHIRE,WV,41,State Group 3,30.4,15530,6701,West Virginia,15530,54027
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"ASSUMPTION, LA",ASSUMPTION,LA,41,State Group 3,29.1,9381,4106,Louisiana,9381,22007
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MASON, WV",MASON,WV,41,State Group 3,25,6207,1989,West Virginia,6207,54053
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"DARLINGTON, SC",DARLINGTON,SC,40.9,State Group 3,29.3,35755,17792,South Carolina,35755,45031
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"FAIRFIELD, SC",FAIRFIELD,SC,40.9,State Group 3,28.5,17099,7929,South Carolina,17099,45039
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"FRESNO, CA",FRESNO,CA,40.9,State Group 3,35.3,431711,167757,California,431711,06019
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"FAYETTE, PA",FAYETTE,PA,40.8,State Group 3,29.5,74888,34452,Pennsylvania,74888,42051
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"EAST FELICIANA, LA",EAST FELICIANA,LA,40.8,State Group 3,31.6,12577,5960,Louisiana,12577,22037
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MOBILE, AL",MOBILE,AL,40.8,State Group 3,29.5,119033,59815,Alabama,119033,01097
